id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,161,2,478,2025-02-17,2.67,2,350,29,"267153, expires: 2025-04-01T00:00:00Z"
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,271,2,153,2025-02-16,0.96,2,327,23,"267153, expires: 2025-04-01T00:00:00Z"
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,,210,52,2024-08-31,0.44,6,190,1,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,47,31,17,2024-08-31,0.10,2,313,1,
50479,L'Arcade Douce,231694,Noemie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,112,3,323,2025-03-02,1.84,2,34,63,"271530, expires: 2025-05-01T00:00:00Z"
66247,Modern Loft Next To Basilica Notre Dame In Old Mtl,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,112,3,525,2025-02-22,3.04,4,60,76,"314544, expires: 2025-07-14T00:00:00Z"
66276,Urban Study/Work Retreat,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46133041381836,-73.62896728515625,Entire home/apt,65,32,45,2024-10-17,0.26,2,224,4,
70489,Ultra Luxurious - City Center,145990,Marc Andre,,Ville-Marie,45.5019,-73.56354,Entire home/apt,90,31,1,2013-10-15,0.01,2,365,0,
70801,"Large, sunny house with garden near Old MTL",294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,405,3,42,2024-09-02,0.25,1,250,7,"310728, expires: 2025-07-31"
85267,Country feeling loft in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,145,32,40,2024-05-30,0.24,6,0,1,
99859,Plateau Charm,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,232,31,44,2023-08-07,0.26,1,365,0,
103128,Family home in Plateau neighbourhood,538123,Raquel,,Le Plateau-Mont-Royal,45.51933,-73.57472,Entire home/apt,216,5,19,2025-01-02,0.11,1,125,1,"308019, expires: 2025-11-19"
104554,Large apartment in the heart of Mile end,543969,Victoria,,Le Plateau-Mont-Royal,45.52403,-73.60176,Entire home/apt,135,31,99,2025-01-07,0.59,1,0,6,"307546, expires: 2025-11-30"
135275,"Charming aparthotel, little Italie",520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,129,31,80,2024-12-15,0.48,2,172,5,
137443,"Apt + garden (Mile End, Plateau) / # CiTQ 310398",656725,Christophe,,Le Plateau-Mont-Royal,45.52663,-73.60145,Entire home/apt,218,2,81,2025-02-17,0.51,1,253,14,"310398, expires: 2025-06-30"
142722,Charming studio in Plateau heart,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,173,32,129,2024-10-16,0.78,6,48,2,
160600,Spacious 2 BDR+Office Close to Universities & Work,324569,Anna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.461334228515625,-73.62901306152344,Entire home/apt,143,32,31,2025-02-28,0.19,2,2,4,
164087,Functional studio (Secret Studio) -plateau,604849,Martin,,Le Plateau-Mont-Royal,45.528545,-73.579308,Entire home/apt,65,2,789,2025-03-03,4.78,2,63,67,"291093, expires: 2026-01-31"
165108,The Cocooning in the heart of Rosemont,787391,Karine,,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire home/apt,115,31,32,2022-01-02,0.20,3,8,0,
168331,Modern vintage 2 BDR in heart plateau,604849,Martin,,Le Plateau-Mont-Royal,45.528431,-73.578979,Entire home/apt,149,2,696,2025-03-01,4.25,2,71,66,"291093, expires: 2026-01-31"
171627,MINI LOUNGE LOFT,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49406,-73.62555,Entire home/apt,92,31,2,2022-08-07,0.01,3,187,0,
182142,BESTofMTL-4Bed-2WC-AC-car-rooftop-GYM-HouseKeeping,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire home/apt,299,31,3,2022-12-31,0.09,3,197,0,
190003,Large sunny room HEARTH of plateau,640693,Marco,,Le Plateau-Mont-Royal,45.51937,-73.56999,Private room,13294,99,1,2011-08-13,0.01,1,365,0,
208337,"Large apartment, terrace and garden",1025518,Christian Et Judith,,Le Plateau-Mont-Royal,45.53217,-73.58388,Entire home/apt,210,20,22,2022-08-28,0.14,2,77,0,"306474, expires: 2025-08-31"
211602,Beautiful sun-filled Studio,407029,Juan,,Baie-d'Urfé,45.41282,-73.90712,Entire home/apt,139,31,219,2023-10-26,1.58,1,158,0,"311701, expires: 2024-12-22"
222430,"Private top floor, downtown view",1020994,Melanie,,Ville-Marie,45.4901,-73.56718,Private room,40,31,21,2023-12-23,0.13,6,365,0,
231472,Charmant appartement équipé,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53839,-73.61759,Entire home/apt,89,31,21,2020-03-31,0.13,2,79,0,
233584,Spacious room- doubl bed- townhouse,1020994,Melanie,,Le Sud-Ouest,45.49031,-73.56686,Private room,30,32,7,2024-06-01,0.05,6,262,2,
234198,Lovely studio in little garden,381468,Sylvie,,Le Plateau-Mont-Royal,45.52991,-73.58205,Entire home/apt,140,32,55,2024-07-25,0.35,6,86,2,
237216,"Modern, quiet Studio",1245164,Christophe,,Villeray-Saint-Michel-Parc-Extension,45.55275,-73.60055,Entire home/apt,82,32,44,2023-09-30,0.27,1,2,0,
241212,"Le Laurier, exquisite loft",787391,Karine,,Rosemont-La Petite-Patrie,45.5467,-73.57182,Entire home/apt,144,31,15,2023-07-13,0.10,3,211,0,
256043,Plateau Mont-Royal Apt. - Long Term Opportunity,1346302,Stéphanie,,Le Plateau-Mont-Royal,45.52912,-73.57694,Entire home/apt,92,90,34,2020-10-29,0.28,1,151,0,
262688,Le Tierra - Private Parking Huge Backyard,1016614,Jean-Marc Pierre,,Le Sud-Ouest,45.48177,-73.55727,Entire home/apt,145,2,245,2025-02-25,1.60,4,320,16,"266431, expires: 2025-06-30"
285349,The authentic and charming Montrealer,787391,Karine,,Rosemont-La Petite-Patrie,45.55232,-73.58254,Entire home/apt,215,31,10,2024-09-12,0.12,3,191,1,
