id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
75065,Bay cottage on Passamaquoddy bay,397069,Bob,Charlotte,Saint Andrews,45.1326,-67.04724,Entire home/apt,274,2,50,2024-09-28,0.43,1,273,6,
145013,Lobster Lane Cottage: private beach,642972,Jennifer,Kent,Dundas,46.32783,-64.52601,Entire home/apt,150,7,8,2020-08-23,0.06,1,358,0,
261800,Furnished Executive Close to City,1373498,Usha,Saint John,City of Saint John,45.27785110473633,-66.05921173095703,Entire home/apt,121,2,65,2024-10-22,0.62,2,364,4,
872640,Acadian Isle Retreat - Heron Haven,2189998,Danielle,Gloucester,Shippagan,47.86754,-64.52352,Entire home/apt,,7,3,2019-08-18,0.02,1,0,0,
1199731,Beautiful Victorian Mansion,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27233,-66.05694,Private room,155,1,143,2024-11-17,1.06,8,268,3,
1242493,Parlour Room,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27358,-66.05307,Private room,125,1,66,2023-10-06,0.56,10,0,0,
1266591,Beautiful Victorian Mansion,6540753,Chipman Hill Suites,Saint John,City of Saint John,45.27377,-66.05737,Private room,169,1,124,2024-11-12,1.08,8,271,9,
1489389,"Midpoint  Moncton, Saint John, Fredericton OPEN",7964165,Sharon,Kings,Springfield,45.65121,-65.86078,Private room,42,1,82,2024-10-29,0.70,4,351,5,
2148508,Near Fundy - Country Guest House All Seasons!,7964165,Sharon,Kings,Springfield,45.65001,-65.86005,Private room,42,1,232,2024-11-05,1.76,4,346,41,
2597511,Suite #3 Downtown Fredericton SuperHost,13302046,Victoria,York,Fredericton,45.9585,-66.63461,Entire home/apt,134,1,459,2024-12-09,3.64,5,238,41,
2664825,Victorian Apartment Close to Uptown,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05299,Private room,,1,50,2020-01-26,0.42,10,0,0,
2745462,Oceanfront Cottage - Paradise Point,14045406,Shannon,Charlotte,Saint George,45.0631,-66.82164,Entire home/apt,120,2,278,2024-12-01,2.16,1,181,43,
