id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
261065,Westboro Village Executive Suite,1369632,Glenn,,Kitchissippi,45.39084,-75.75621,Entire home/apt,159,3,108,2024-10-26,0.67,1,230,12,STR-825-691
290033,Rural charm close to the city,415201,Daniel,,Rideau-Goulbourn,45.1682,-75.71208,Entire home/apt,228,2,12,2024-10-26,0.08,1,267,6,STR-834-339
490182,Basement Studio - Old Ottawa East,2401179,Ela,,Capital,45.4055,-75.67612,Private room,78,30,9,2022-09-27,0.11,1,255,0,
674799,Up to 3-bdrm with privacy - quiet & safe,2058676,Yiqun,,Gloucester-South Nepean,45.2691,-75.72197,Private room,63,1,93,2024-10-13,0.65,1,364,27,STR-827-424
682632,"Adorable 2 bdrm, Central Ottawa PD1",3201295,Greg And Valerie,,Kitchissippi,45.40455,-75.7313,Entire home/apt,105,31,9,2024-05-11,0.08,7,83,2,
682634,Highly desirable Ottawa & Wellington Village West!,3201295,Greg And Valerie,,Kitchissippi,45.4003,-75.73144,Entire home/apt,208,31,11,2024-08-01,0.09,7,254,2,Exempt
902575,Room for rent Downtown Ottawa R,3895093,Nicole,,Somerset,45.41753,-75.69297,Private room,93,90,7,2016-09-28,0.05,1,0,0,
943979,Smart flat near Center&Glebe+Garage,5108859,Maria And Jim,,Somerset,45.41127,-75.69575,Entire home/apt,76,60,303,2024-03-24,2.09,2,213,1,
987450,Central New condo w Balcony/Garage!,5108859,Maria And Jim,,Somerset,45.41083,-75.69474,Entire home/apt,73,60,326,2025-01-13,2.26,2,163,3,
1026310,Lakehouse Inspired Retreat Close to Downtown,5649683,Melanie,,Rideau-Rockcliffe,45.45592,-75.65727,Entire home/apt,764,30,17,2021-12-29,0.16,1,220,0,
1151370,Furnished Room in a Friendly Family Home,1755714,Janice,,College,45.34761,-75.7843,Private room,36,30,50,2024-12-21,0.36,3,345,3,
1703622,Bedroom in kanata south free parking & Gym access,5035914,Abdelrahman,,Kanata South,45.28752,-75.86129,Private room,71,1,17,2024-11-08,0.45,4,0,6,STR-827-417
1732533,Private Clean Bedroom and Bathroom,9123239,Mariana,,Gloucester-South Nepean,45.27375030517578,-75.70606231689453,Private room,59,2,155,2025-02-28,1.12,1,262,23,STR-827-603
1774018,Zen Tranquility Retreat,294136176,Vania,,Barrhaven,45.25212,-75.74594,Entire home/apt,199,31,33,2023-09-01,0.49,1,131,0,
1827668,Centrally located 3 bedroom home in Westboro!,6818912,Anne-Marie,,Kitchissippi,45.39533,-75.7582,Entire home/apt,230,30,61,2021-08-26,0.45,1,0,0,
1908873,Mer Bleue Private Apartment,9905548,Nadine,,Innes,45.42971,-75.48987,Entire home/apt,,31,105,2022-03-29,0.87,1,0,0,
2148350,Bright Modern & Spacious - Executive Rental,10964947,Trevor,,College,45.34248,-75.78457,Entire home/apt,98,30,78,2024-05-31,0.63,2,339,1,STR-842-372
2256795,AMAZING VIEW DOWNTOWN 1 BED CONDO!,5058472,Kat,,Somerset,45.41408,-75.69267,Entire home/apt,135,30,21,2015-08-29,0.16,1,365,0,
2374455,Charming Eurostyle apartment! PD2,3201295,Greg And Valerie,,Kitchissippi,45.40387,-75.73097,Entire home/apt,150,31,21,2024-12-31,0.18,7,0,3,
2453778,Central Ottawa Micro Condo Studio w Heated Parking,12547161,Evaldo,,Somerset,45.41062,-75.69663,Entire home/apt,80,30,307,2024-11-15,2.30,1,205,5,
2474327,Private unit close to Rideau Canal,12656347,Diem,,Capital,45.40874,-75.68044,Entire home/apt,116,1,225,2025-03-02,1.75,1,152,27,STR-843-790
2738455,Studio 2 OTTAWA WEST,12671457,Mariya,,College,45.31617,-75.83931,Private room,63,1,73,2024-06-16,0.58,2,19,13,STR-837-665
2744294,3 Bedroom Executive Apt in Westboro,8166549,Michael,,Kitchissippi,45.40154,-75.74731,Entire home/apt,,3,55,2024-09-22,0.42,1,0,7,STR-827-262
2949838,Cozy and  vintage  spot in the heart of Ottawa,374659,Emma And Ed,,Rideau-Vanier,45.43029,-75.68937,Private room,61,30,885,2024-11-19,6.92,1,365,45,Exempt
3622272,Cozy and modern in Ottawa's Westboro Village,834817,Dominika,,Kitchissippi,45.3837582,-75.74764809999999,Entire home/apt,108,3,18,2025-02-14,1.22,1,118,15,STR-837-975
3917038,International Students!  Stay 1 Month or Longer!,20290919,Cornelia,,Rideau-Vanier,45.43476,-75.68109,Private room,50,30,82,2025-02-26,0.64,2,195,4,
3929195,Victorian House in Byward Market,20355739,Irma,,Rideau-Vanier,45.43206,-75.6949,Entire home/apt,199,14,22,2025-01-06,0.18,1,90,2,STR-826-972
3936688,International Students! Book 1 month or Longer!,20290919,Cornelia,,Rideau-Vanier,45.4328,-75.67909,Private room,58,30,20,2024-12-31,0.21,2,214,4,
4183188,Chic 1 Bedroom in Beechwood Village (Suite 1),21702498,Jane,,Rideau-Vanier,45.4399,-75.6684,Entire home/apt,72,30,34,2024-08-15,0.27,2,113,1,
4183253,"Best Location, Spaciouse 2BDR,",19290752,Mojgan,,Rideau-Vanier,45.43196,-75.69057,Entire home/apt,165,2,250,2025-02-17,1.98,3,85,13,STR-827-304
