id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138381,Bed & Breakfast La California kudu,675584,Mary,,Sillery,46.7685,-71.26831,Private room,185,31,175,2023-08-21,1.05,3,292,0,"181101, expires: 2025-11-30"
198548,Fabulous view - Central - Ideal work from home,960772,Marianne,,Saint-Jean-Baptiste,46.80997,-71.22545,Entire home/apt,127,31,63,2025-01-05,0.39,1,48,4,
348647,La Maison Lafleur Old -Quebec bnb#4,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81504,-71.20562,Private room,180,1,227,2025-02-18,1.43,3,180,30,"125930, expires: 2025-11-30"
361572,La Maison Lafleur Old -Quebec bnb#2,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8157,-71.20504,Private room,180,1,209,2025-02-16,1.36,3,180,15,"125930, expires: 2025-11-30"
361573,la maison lafleur  bnb # 3,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8157,-71.20504,Private room,180,1,99,2025-02-22,0.64,3,180,9,"125930, expires: 2025-11-30"
517628,Entire Townhouse on Historic rue Champlain,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80432,-71.20559,Entire home/apt,,3,43,2024-12-30,0.63,1,0,8,"312758, expires: 2025-04-14T00:00:00Z"
661569,B&B La California la femme au chapeau,675584,Mary,,Sillery,46.76839,-71.26693,Hotel room,185,31,96,2024-08-05,0.68,3,292,3,"181101, expires: 2025-11-30"
878309,Large and sunny apartment,4598359,Agnes,,Sillery,46.78416442871094,-71.25181579589844,Entire home/apt,70,32,33,2024-07-28,0.23,2,279,2,
878904,Charmant studio,4598359,Agnes,,Sillery,46.78232955932617,-71.24954223632812,Entire home/apt,45,32,21,2024-05-03,0.15,2,212,1,
997400,Lovely and comfy flat - Two-Bedroom & Free parking,5480680,Cecilia,,Chutes-Montmorency,46.88443,-71.17122,Entire home/apt,69,1,653,2025-02-16,4.53,1,120,38,"360108, expires: 2025-12-31"
1001559,Modern Montcalm condo (private parking),5508181,Simon,,Montcalm,46.8045,-71.22713,Entire home/apt,,31,40,2024-08-07,0.50,1,0,3,"302754, expires: 2024-10-31T23:00:00Z"
1240632,B- Sunny and quietRoom to rent monthly,6212858,Katia,,Duberger-Les Saules,46.80681,-71.33501,Private room,18,31,13,2025-02-01,0.11,9,126,2,
1406193,Québec city centre 2 ch  tv wifi 31 jours mini,7586751,Mylène,,Saint-Sauveur,46.81494,-71.237,Entire home/apt,66,31,75,2025-02-11,0.53,1,262,2,
1502540,C- Big room first floor quiet clean,6212858,Katia,,Duberger-Les Saules,46.80725,-71.3353,Private room,18,31,4,2024-10-03,0.04,9,145,1,
1516068,Chambre #2 dans maison privée,6137330,André,,Sillery,46.7835,-71.25891,Private room,24,32,26,2024-05-26,0.20,4,246,1,
1577452,pausa Chambre II. UL <-10min ->Vieux Québec,8384168,Irina,,Sillery,46.78385692043639,-71.24780408465574,Private room,47,31,34,2024-08-12,1.10,3,180,1,
1645445,AMAZING 2STORIES CONDO IN OLDQUEBEC,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81373,-71.20601,Entire home/apt,198,32,116,2024-06-11,0.92,2,365,1,
