id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16254,Close to PNE/Hastings Park Garden level suite,63238,Jason,,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,776,5,7,2022-07-30,0.09,1,185,0,
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,,365,3,2018-02-16,0.03,4,0,0,
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26132,-123.10845,Entire home/apt,,5,203,2021-10-01,1.34,1,0,0,21-156705
18795,*Best choice in downtown-5 Stars * -2,70137,Kai,,West End,49.28299,-123.13008,Private room,75,90,131,2023-06-01,0.78,3,365,0,18-573700
24273,Avalon Guest Suite in Kitsilano,1267409,Julia,,Kitsilano,49.26216,-123.1715,Entire home/apt,220,90,17,2023-11-05,0.12,2,247,0,20-175617
26047,The Alpha - 1BR Downtown Vancouver,109845,Alicia,,Downtown,49.28086,-123.12375,Entire home/apt,106,90,49,2024-11-27,0.29,3,179,5,
42645,The Charlie Downtown by Comfysuites,109845,Alicia,,Downtown,49.28036,-123.1234,Entire home/apt,159,90,35,2024-09-22,0.20,3,132,2,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.26778,-123.14674,Entire home/apt,,31,9,2016-08-22,0.05,1,0,0,
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27591,-123.12359,Entire home/apt,126,90,28,2024-09-20,0.17,1,0,4,
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,165,2,833,2025-01-03,4.90,1,231,58,24-157483
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24356,-123.04757,Private room,,90,48,2024-12-01,0.29,5,89,4,
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,Downtown,49.28034,-123.12648,Entire home/apt,,10,7,2019-12-28,0.09,1,0,0,18 549804 SA
196722,"Newly renovated, sleeps 6 – fantastic location!",958297,Elana & Gary,,Grandview-Woodland,49.2634,-123.0712,Entire home/apt,,7,13,2019-08-17,0.10,1,0,0,18-549903
256178,Luxury Coach House in Kitsilano,1267409,Julia,,Kitsilano,49.26293,-123.17143,Entire home/apt,149,90,24,2023-05-30,0.16,2,63,0,25-132758 We only accept long term rentals (90+ nights)
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,,365,6,2019-12-21,0.07,4,90,0,18-475635
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27799,-123.07101,Private room,,30,58,2022-10-11,0.38,1,0,0,
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kenphing,,Downtown Eastside,49.28211,-123.10453,Entire home/apt,257,3,187,2025-02-17,1.20,1,282,32,25-156008
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.23034,-123.02971,Private room,180,2,47,2024-09-02,0.30,4,360,3,25-156997
475296,Vancouver (Gastown) penthouse loft with two decks.,2356016,Jocelyn,,Downtown Eastside,49.28241,-123.10381,Entire home/apt,350,3,243,2024-12-08,1.72,1,350,14,24-157565
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.28062,-123.11815,Entire home/apt,118,91,169,2025-02-21,1.09,1,211,4,
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,550,5,43,2024-12-08,0.28,2,33,6,25-156205
507767,Level | One Bedroom Suite | Downtown Vancouver,2502595,Alessandro,,Downtown,49.27741,-123.12292,Entire home/apt,200,30,5,2024-04-18,0.03,33,262,1,25 -117786
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759,-123.06393,Entire home/apt,410,1,118,2025-01-03,0.84,1,155,26,25-156249
622217,3 bedroom SubPenthouse central downtown Vancouver,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,,2,70,2024-12-16,0.49,2,0,9,24-157419
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,55,90,22,2023-05-14,0.15,2,65,0,
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,,31,27,2018-05-06,0.18,1,0,0,86-13134
703179,Entire cute condo full of art for 2,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,,90,184,2025-01-09,1.24,1,0,2,25-156209
