id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19898,Duchess Suite,69729,Ryan,Victoria,Rockland,48.42515,-123.33977,Private room,,2,0,,,1,0,0,
41168,"Burma Suite, Ocean Island Garden Suites",173169,Ocean Island Garden Suites,Victoria,James Bay,48.41333,-123.37065,Entire home/apt,9999,1,70,2024-09-29,0.49,3,40,9,38790
83515,GALLERY B&B SUITE,455118,Celia,Salt Spring Island,Salt Spring Island,48.86222,-123.49996,Entire home/apt,144,2,149,2025-02-17,0.89,2,304,14,
168460,Perfectly located lovely home,802981,Deborah,Victoria,James Bay,48.4162,-123.3679,Entire home/apt,200,60,64,2018-08-26,0.42,1,173,0,
185732,Romantic 2 bedroom private suite,880366,Peter,Highlands,Highlands,48.50589,-123.46357,Private room,175,1,52,2019-09-22,0.32,3,360,0,
193366,Tudor Cottage,937766,Sandra,Victoria,Rockland,48.42574,-123.3376,Entire home/apt,135,30,157,2024-11-16,0.99,1,296,1,
201427,Economical forest mountain getaway,880366,Peter,Highlands,Highlands,48.50459,-123.46259,Private room,67,1,51,2020-02-22,0.33,3,360,0,
201441,Deluxe quiet romantic escape,880366,Peter,Highlands,Highlands,48.50474,-123.46352,Private room,122,1,12,2019-07-26,0.10,3,365,0,
203416,Galiano Island Eagles Nest Retreat Cabin - Private,997424,Line Marie,Southern Gulf Islands,Southern Gulf Islands,48.86653,-123.35066,Entire home/apt,109,4,462,2025-01-20,3.09,2,57,31,
226028,Victoria LEED Home (upper floor),1178351,Allison,Victoria,Fernwood,48.42654,-123.35134,Entire home/apt,110,30,260,2025-01-09,1.60,2,101,3,
226030,LEED Home (main floor),1178351,Allison,Victoria,Fernwood,48.42888,-123.35237,Entire home/apt,,30,8,2018-07-09,0.07,2,0,0,
250576,Character home close to downtown,911586,Jennifer,Victoria,Hillside/Quadra,48.44196,-123.35599,Private room,70,1,207,2025-02-16,1.35,2,142,21,
306192,Private Oceanfront Cottage,1574682,Norm & Pam,Sooke,Sooke,48.38343,-123.70666,Entire home/apt,215,5,95,2023-08-19,0.61,1,365,0,
394086,A Great Hotel Alternative,1923756,Bobbie,Victoria,North Jubilee,48.43202,-123.32535,Private room,110,30,128,2024-12-17,0.82,2,365,3,
401073,Oceanside James Bay Heritage Suite #5,2001974,Martin,Victoria,James Bay,48.41282,-123.37677,Entire home/apt,100,90,22,2023-06-30,0.19,17,173,0,
405558,James Bay Menzies-Dallas Oceanside Suite #2,2001974,Martin,Victoria,James Bay,48.41101,-123.37691,Entire home/apt,86,90,30,2022-10-31,0.19,17,215,0,
408315,"Longstay Sidney waterfront home, EaglesnestSidney",2032438,A,Sidney,Sidney,48.66168,-123.40394,Entire home/apt,377,91,24,2024-05-26,0.19,1,233,2,
410541,Brand New Suite with 10FT Ceilings Suite #3,2001974,Martin,Victoria,Fernwood,48.42599,-123.33919,Entire home/apt,76,90,27,2023-07-31,0.18,17,327,0,
410542,Rockland 1 Bedroom Suite Near Downtown,2001974,Martin,Victoria,Rockland,48.42436,-123.341,Entire home/apt,76,90,23,2024-01-31,0.15,17,326,0,
416786,Renovated Townhouse Near Downtown,2001974,Martin,Victoria,Fernwood,48.42634,-123.34648,Entire home/apt,113,90,24,2023-08-22,0.15,17,327,0,
417778,A GREAT ALTERNATIVE TO A HOTEL,1923756,Bobbie,Victoria,North Jubilee,48.43202,-123.32673,Private room,120,30,95,2024-11-05,0.62,2,364,3,
461498,Suite in Restored Heritage Property Suite #5,2001974,Martin,Victoria,Rockland,48.42398,-123.33868,Entire home/apt,76,90,28,2024-12-14,0.18,17,297,1,
461499,Large 2 Bedroom Suite Near Downtown Suite #8,2001974,Martin,Victoria,Rockland,48.42491,-123.34019,Entire home/apt,113,90,34,2023-07-21,0.22,17,281,0,
463027,Oceanside Suite in James Bay #3,2001974,Martin,Victoria,James Bay,48.41235,-123.37658,Entire home/apt,76,90,27,2024-08-31,0.18,17,327,2,
472025,Bloom Organic B&B - Orchard Suite,2230573,Anna,Salt Spring Island,Salt Spring Island,48.92716,-123.57325,Private room,196,2,32,2023-08-26,0.25,1,365,0,
514811,Waterfront Walks & Welcome Foodies,393956,Rhona,Saanich,Saanich,48.45318,-123.41749,Entire home/apt,122,2,295,2025-02-14,1.91,1,52,37,
515418,High-End 2-Bedroom Suite,2001974,Martin,Victoria,Rockland,48.42474,-123.33922,Entire home/apt,106,90,11,2023-03-31,0.07,17,357,0,
528492,Pied-à-terre Harbour Penthouse @ Mermaid Wharf,2596667,Teresa,Victoria,Downtown,48.43003,-123.37046,Entire home/apt,159,90,46,2024-02-25,0.32,1,364,1,
