id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1526583,Cozy and friendly home!,8145510,Ruth,,Fort Rouge - East Fort Garry,49.86024,-97.153,Private room,48,3,36,2025-01-02,0.47,5,365,1,STRA-2024-2437454
1529013,Cosy! Private! Wolseley! NEWLY renovated!,4997811,Rebecca,,Daniel McIntyre,49.88285,-97.16937,Entire home/apt,63,30,142,2025-03-03,1.12,4,0,6,
1559076,Executive Penthouse Condo,970192,Colleen,,Charleswood - Tuxedo - Westwood,49.86578,-97.20899,Entire home/apt,72,28,34,2024-12-20,0.25,1,186,5,
1664166,Contemporary 5 bedroom in St. Vital,8288997,Richard,,St. Vital,49.866,-97.11149,Entire home/apt,186,2,180,2025-01-05,1.37,1,319,28,
3664955,Heart of the City: Osborne Village Heated Parking,563380260,Ryan,,Fort Rouge - East Fort Garry,49.8805,-97.14399,Entire home/apt,131,30,153,2024-07-02,1.19,7,160,1,
3665425,Luxury Flat w/ Heated Parking in Osborne Village,563380260,Ryan,,Fort Rouge - East Fort Garry,49.88021,-97.14516,Entire home/apt,102,30,39,2024-06-18,0.34,7,167,4,
4248127,"Cozy, Quiet and Central.",4000767,Dwayne,,Daniel McIntyre,49.89082,-97.17195,Private room,29,7,4,2024-12-14,0.84,1,297,4,
4574645,Attractive interior and exterior home on creek,23470058,K,,North Kildonan,49.95255,-97.06113,Private room,60,3,62,2024-10-04,0.52,3,89,7,
5420833,Basement Suite with Beautiful Private Bathroom,71184,Hiroshi & Naomi,,Elmwood - East Kildonan,49.9097,-97.06932,Private room,50,1,147,2024-12-22,1.24,1,159,11,STRA-2024-2436595
6013819,"On River, 10 min downtown & Arena, 20 min Stadium",31217093,Barry,,St. Vital,49.85536,-97.12056,Entire home/apt,220,4,5,2017-08-12,0.04,1,340,0,
6170275,5bdr Family Home in River Heights,31823352,Christene,,River Heights - Fort Garry,49.87337,-97.18107,Entire home/apt,576,4,19,2024-09-03,0.20,1,255,1,STRA-2024-2433727
6262372,The Suite: Private Room + Kitchenette,31620704,Jill & Noreen,,Daniel McIntyre,49.8831,-97.16491,Private room,59,1,209,2025-02-28,1.76,3,238,19,STRA-2024-2433728
6349369,Sweet 1 street veiw Incl. Cable and WIFI,33077287,Sergio,,Elmwood - East Kildonan,49.92575,-97.09594,Entire home/apt,60,3,93,2024-04-30,0.78,2,131,2,STRA-2024-2468645
6350400,Sunshine Sweet - Inc. Cable and WIFI,33077287,Sergio,,Elmwood - East Kildonan,49.92575,-97.09594,Entire home/apt,56,3,95,2025-01-14,0.88,2,123,5,
